year,woy,dow,registered,total
2011,52,0,669,800
2011,3,2,671,680
2012,11,6,4677,7832
2014,5,0,4635,5471
2014,11,1,5987,6831
2015,14,2,6894,8198
2012,8,3,4373,4767
2013,10,5,4459,4870
2013,12,5,4770,5452
2016,11,4,8887,10673
2014,1,0,1945,2080
2013,9,1,4669,5002
2013,8,2,3797,3960
2014,11,4,3809,4022
2012,5,5,3836,4146
2016,1,0,4707,5663
2012,3,0,1779,1975
2016,12,3,9960,12340
2011,3,0,836,986
2013,7,4,4815,5170
2014,5,2,3121,3160
2011,5,5,1617,1705
2016,10,3,9289,11214
2017,5,5,6161,6543
2015,8,3,3138,3183
2017,3,0,2886,4066
2015,5,5,4774,4905
2016,5,2,6357,6584
2017,8,3,8432,9659
2014,10,3,4317,4554
2014,12,3,3679,3791
2015,3,0,2271,2548
2011,8,3,1769,1908
2014,13,0,848,906
2015,6,3,6095,6138
2012,5,0,2627,2944
2014,11,6,6716,10471
2012,11,1,4452,5290
2012,3,5,3042,3156
2015,2,3,2998,3063
2016,1,5,5806,6153
2013,10,0,4501,6829
2012,13,2,4562,5093
2017,2,3,6678,7267
2017,1,2,3517,3771
2011,6,3,1545,1597
2013,12,0,2779,3888
2017,6,3,9443,10619
2011,2,3,1134,1159
2011,1,2,1453,1561
2014,1,5,1559,1634
2016,11,6,2731,3227
2013,13,3,5210,5856
2013,4,1,3547,4574
2015,11,1,6766,8175
2017,13,2,8622,10444
2015,5,0,3352,3621
2012,1,2,2144,2233
2012,2,3,2082,2174
2013,6,2,4462,4613
2015,3,5,5466,5729
2016,3,2,3855,3912
2012,6,3,2687,2794
2013,2,2,4869,5311
2013,1,3,3419,3703
2011,13,2,2103,2420
2014,13,5,5844,6741
2011,3,5,1464,1537
2014,3,2,4781,5126
2011,5,0,1266,1620
2011,11,1,1684,2043
2017,5,0,4346,5489
2017,11,1,5621,6470
2015,13,2,6884,7875
2017,3,5,4182,5566
2013,7,6,2560,3239
2011,1,0,767,821
2012,12,3,5100,6221
2013,8,5,3439,3562
2012,10,3,4475,4907
2013,10,2,4773,5217
2013,4,4,2428,2448
2015,11,4,7404,9215
2017,1,0,1778,1920
2013,12,2,5327,6001
2012,5,2,4177,4501
2017,11,4,4798,5179
2015,1,0,3208,3711
2011,11,4,2313,2736
2013,5,3,4505,4687
2017,5,2,7301,7764
2016,8,3,3212,3279
2015,13,0,4149,5861
2012,11,4,5178,6183
2015,12,3,6723,7527
2014,3,0,3425,4145
2011,5,2,1313,1360
2015,10,3,4067,4187
2014,5,5,5240,5479
2017,12,3,7384,8313
2013,2,0,3310,4145
2014,8,3,5438,5682
2017,10,3,8878,10971
2011,10,3,1690,1881
2015,5,2,4030,4102
2016,5,5,5440,5822
2013,9,6,3067,3741
2011,12,3,1914,2117
2012,1,0,2825,3424
2013,6,0,3112,3613
2016,10,6,6465,10427
2016,12,6,7089,14116
2015,8,6,733,758
2013,11,0,3002,3984
2015,4,0,4553,5210
2013,5,1,2668,2733
2012,12,1,5164,6146
2014,12,6,6257,10969
2012,6,4,3663,3824
2014,10,6,5683,8494
2017,8,6,5218,8174
2012,10,1,3128,3331
2013,1,4,3576,3873
2017,4,0,4208,5250
2012,2,4,3822,4091
2011,4,0,953,1093
2011,8,6,1544,1968
2012,9,5,2945,3190
2014,9,2,4438,4595
2017,12,1,7464,9303
2011,9,5,1722,1936
2013,13,4,4941,5640
2017,6,4,5150,5369
2014,8,1,3019,3349
2011,2,4,1362,1399
2017,10,1,7321,8583
2012,8,6,2415,2732
2012,4,0,2684,3240
2017,2,4,8147,9091
2011,6,4,1488,1534
2011,10,1,1624,1867
2011,12,1,1672,2073
2017,9,5,6100,6741
2016,7,0,3521,4254
2016,8,1,6626,7148
2015,2,4,2936,2976
2015,9,5,4508,4699
2016,9,2,7902,8588
2014,7,0,2492,2876
2015,12,1,7337,9022
2015,10,1,3939,4118
2015,6,4,4914,5076
2014,4,5,2611,2651
2011,12,4,1693,1859
2011,4,2,1796,1982
2011,6,1,1586,1706
2017,2,1,4423,4617
2011,10,4,574,620
2011,2,1,1278,1319
2017,6,1,7520,8399
2014,8,4,6202,6631
2017,10,4,9781,12406
2017,12,4,7517,8616
2017,4,2,6973,7389
2013,13,1,1849,1933
2015,10,4,525,560
2015,6,1,3857,3911
2013,11,2,3840,4289
2015,4,2,6114,6316
2016,4,5,2848,2942
2015,12,4,7011,8202
2012,11,3,5308,6305
2012,7,5,3796,4145
2016,8,4,6161,6330
2015,2,1,4969,5262
2016,53,5,2221,3220
2011,7,5,2344,2922
2013,5,4,4238,4358
2014,7,2,4602,4783
2016,2,6,4472,5908
2011,11,3,1866,2187
2017,11,3,3269,3359
2017,7,5,6467,7282
2016,9,0,4360,5899
2013,3,6,3775,4974
2016,6,6,1417,1535
2013,4,3,3151,3220
2015,11,3,6834,7909
2012,2,1,2264,2370
2015,7,5,3905,4078
2016,7,2,3155,3238
2014,2,6,1887,1984
2014,9,0,2991,3531
2012,6,1,3573,3779
2012,10,4,4888,5374
2014,6,6,3689,4079
2012,12,4,5525,6859
2012,4,2,3888,4327
